Boca de Pozo Geothermal Power Plant Costa Rica,Costa Rica,Operating Fully,10.7041,-85.1942,5,Direct Subcritical Steam Condensing Turbine (ST),Please Select,"N of Fortuna, Bagaces, Guanacaste, Costa Rica",National Grid,Instituto Costaricense de Electricidad (ICE),100,,,Instituto Costaricense de Electricidad (ICE),,,www.dse.go.cr (SIEN database)
Miravalles I and II Geothermal Power Plant Costa Rica,Costa Rica,Operating Fully,10.7002,-85.1944,115,Flash,Base Load,"Bagaces, Guanacaste",National Grid,Instituto Costaricense de Electricidad (ICE),100,Government,"West Japan Engineering, Marubeni, Ansaldo",Instituto Costaricense de Electricidad (ICE),,,http://www.dse.go.cr (SIEN database)
Miravalles III Geothermal Power Plant Costa Rica,Costa Rica,Operating Fully,10.718,-85.1819,27.5,Flash,Please Select,"N of Fortuna, Bagaces, Guanacaste, Costa Rica",National Grid,"Geoenergia de Guanacaste Ltda (consortium of Oxbow Power, Marubeni Corp and Jose Altmann and Co)",,BOT,"MHI, Power Engineers, Satet",Geoenergia de Guanacaste Ltda,,,www.powereng.com/uploadedFiles/News/Articles/Miravalles-III-final.pdf
Miravalles V Geothermal Power Plant Costa Rica,Costa Rica,Operating Fully,10.6922,-85.19,15.45,Binary,Please Select,"N of Fortuna, Bagaces, Guanacaste, Costa Rica",National Grid,Instituto Costaricense de Electricidad (ICE),,,Ormat,Ormat Industries,,,http://www.energytoolbox.org/gcre/bibliography/149_2419.pdf
Pailas Geothermal Power Plant Costa Rica,Costa Rica,Operating Fully,10.754,-85.3797,36,Binary,Please Select,"Southern slope of the Rincon de la Vieja Volcano, Guanacaste, Costa Rica",Please Select,Central American Bank for Economic Integration (BCIE),100,,,Instituto Costarricense de Electricidad (ICE),,,http://www.geothermal.org/articles/costarica.pdf
