PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Gundremmingen Nuclear Power Plant Germany,Kernkraftwerk Gundremmingen GmbH,"A Physically Based, One-Dimensional Two-Fluid Model for ...",http://nuclearengineering.asmedigitalcollection.asme.org/article.aspx?articleid=2085829
Isar Nuclear Power Plant Germany,E.ON Kernkraft GmbH,Contact & main addresses - E.ON SE,https://www.eon.com/en/contact.html
Kruemmel Nuclear Power Plant Germany,Kernkraftwerk Kruemmel GmbH & Co. oHG,Handelsregisterauszug von No7 Contact-Lenses (Deutschland ...,https://www.online-handelsregister.de/handelsregisterauszug/he/Frankfurt+am+Main/N/No7+Contact-Lenses+%28Deutschland%29+e.K/2115119
Unterweser Nuclear Power Plant Germany,E.ON Kernkraft GmbH,Contact & main addresses - E.ON SE,https://www.eon.com/en/contact.html
Paks Nuclear Power Plant Hungary,Paksi Atomeromu Rt (http://atomeromu.hu/),atomeromu.hu - Paksi Atomerőmű,http://www.atomeromu.hu/
Kaiga Atomic Power Station India,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),Contact Us - Nuclear Power Corporation of India Limited,https://npcil.etenders.in/pages/contact-us
Kakrapar Atomic Power Station India,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),Contact Us - Nuclear Power Corporation of India Limited,https://npcil.etenders.in/pages/contact-us
Kalpakkam (Madras) Atomic Power Station India,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),Contact Us - Nuclear Power Corporation of India Limited,https://npcil.etenders.in/pages/contact-us
Kudankulam Nuclear Power Plant (KNPP) India,Nuclear Power Corporation Of India Ltd,NUCLEAR POWER CORPORATION OF INDIA LIMITED - Company ...,https://www.zaubacorp.com/company/NUCLEAR-POWER-CORPORATION-OF-INDIA-LIMITED/U40104MH1987GOI149458
Narora Atomic Power Station India,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),Contact Us - Nuclear Power Corporation of India Limited,https://npcil.etenders.in/pages/contact-us
Rajasthan Atomic Power Station Rawatbhata India,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),Contact Us - Nuclear Power Corporation of India Limited,https://npcil.etenders.in/pages/contact-us
Tarapur Atomic Power Station India,NUCLEAR POWER CORPORATION OF INDIA LTD,NUCLEAR POWER CORPORATION OF INDIA LIMITED - Company ...,https://www.zaubacorp.com/company/NUCLEAR-POWER-CORPORATION-OF-INDIA-LIMITED/U40104MH1987GOI149458
Bushehr Nuclear Power Plant Iran,Atomic Energy Organization of Iran,Contact | Iran Watch,http://www.iranwatch.org/contact
Fukushima Daiichi Nuclear Power Plant Japan,Tokyo Electric Power Company Inc. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Fukushima Daini Nuclear Power Plant Japan,Tokyo Electric Power Company Inc. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Genkai Nuclear Power Plant Japan,"KYUSHU ELECTRIC POWER CO.,INC.",electrode to contact to an electrolyte on one side and to,https://www.electrochem.org/dl/ma/206/pdfs/0129.pdf
Hamaoka-cho Nuclear Power Plant Japan,"CHUBU ELECTRIC POWER CO.,INC.","Chubu Electric Power Co.,Inc. | Contact Us",http://www.chuden.co.jp/english/contactus/index.html?ceid=gn
Higashi Dori-1 (Tohoku) Nuclear Power Plant Japan,Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Ikata Nuclear Power Station Japan,"SHIKOKU ELECTRIC POWER CO.,INC","Shikoku Electric Power Co. Inc. - Overview, Contact ...",https://www.researchmoz.us/shikoku-electric-power-co-inc-overview-contact-details-locations-key-executives-power-plant-information-business-description-and-swot-analysis-report.html
Kashiwazaki Kariwa Nuclear Power Plant Japan,Tokyo Electric Power Company Inc. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Mihama Nuclear Power Plant Japan,KANSAI ELECTRIC POWER CO.,Contact us [KEPCO],http://www.kepco.co.jp/english/corporate/info/procurement/iqcounter/index.html
Mihama Nuclear Power Plant Japan,KANSAI ELECTRIC POWER CO.,Contact us [KEPCO],http://www.kepco.co.jp/english/corporate/info/procurement/iqcounter/index.html
Ignalina Nuclear Power Plant Lithuania,IGNALINA NUCLEAR POWER PLANT,Lithuania: Ignalina N-plant auction case goes to court,https://www.baltictimes.com/lithuania__ignalina_n-plant_auction_case_goes_to_court/
Laguna Verde Nuclear Power Plant Mexico,COMISION FEDERAL DE ELECTRICIDAD,What does CFE stand for? - abbreviations.com,https://www.abbreviations.com/CFE
Borssele Nuclear Power Plant Netherlands,N.V. ELEKTRICITEITS-PRODUKTIEMAATSCHAPPIJ ZUID-NEDERLAND,Contact – Blik in de bol,https://blikindebol.nl/portfolio/items/contact/
Chasnupp Nuclear Power Plant Pakistan,PAKISTAN ATOMIC ENERGY COMMISSION,Contact Us - Pakistan Atomic Energy Commission,http://www.paec.gov.pk/contact/index.aspx
Kanupp Nuclear Power Reactor Pakistan,PAKISTAN ATOMIC ENERGY COMMISSION,Contact Us - Pakistan Atomic Energy Commission,http://www.paec.gov.pk/contact/index.aspx
Chinshan Nuclear Power Plant Taiwan,Taipower (TAIWAN POWER CO.),Taiwan power company-Contact us,http://www.taipower.com.tw/e_content/content/contact/contact01.aspx
Kuosheng Nuclear Power Plant Taiwan,TPC (TAIWAN POWER CO.),Contact | Yokogawa Global,https://www.yokogawa.com/tpc/contactus/
Lungmen Nuclear Power Plant Taiwan,Taiwan Power Company,Taiwan power company-Contact us,http://www.taipower.com.tw/e_content/content/contact/contact01.aspx
Maanshan Nuclear Power Plant Taiwan,TPC (TAIWAN POWER CO.),Contact | Yokogawa Global,https://www.yokogawa.com/tpc/contactus/
